# Server version 0.08 running on 142.157.166.246:8123
# Game ID: 5
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Mon Apr 10 22:47:02 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on 142.157.166.246
# Player 2: Player-1, 'HusPlayer', running on 142.157.166.246
START Player-0 RandomPlayer
START Player-1 HusPlayer
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 0
PIT 1 2
PIT 0 4
PIT 1 0
PIT 0 5
PIT 0 1
PIT 1 0
PIT 0 4
PIT 0 2
PIT 1 0
PIT 1 3
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 3
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 4
PIT 1 0
GAMEOVER WINNER 1         Player-0 score: 22  Player-1 score: 50
# Game ended: Mon Apr 10 22:47:03 EDT 2017
