# Server version 0.08 running on 142.157.166.246:8123
# Game ID: 10
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 700
# First Move Timeout: 30000
# Date: Mon Apr 10 22:48:11 EDT 2017
# Player 1: Player-0, 'HusPlayer', running on 142.157.166.246
# Player 2: Player-1, '260581958', running on 142.157.166.246
START Player-0 HusPlayer
START Player-1 260581958
PIT 0 1
PIT 1 2
PIT 0 0
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 2
PIT 0 2
PIT 0 3
PIT 1 1
PIT 1 5
PIT 0 0
PIT 1 2
PIT 1 4
PIT 0 0
PIT 1 1
PIT 0 3
PIT 1 4
PIT 0 2
PIT 1 2
PIT 0 5
PIT 1 5
PIT 0 3
PIT 1 1
PIT 0 2
PIT 1 3
PIT 0 5
PIT 1 1
PIT 0 3
PIT 1 3
PIT 0 5
PIT 1 4
PIT 0 4
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 3
PIT 1 2
PIT 0 5
PIT 1 4
PIT 0 4
PIT 1 2
PIT 0 5
PIT 1 1
GAMEOVER WINNER 1         Player-0 score: 14  Player-1 score: 58
# Game ended: Mon Apr 10 22:48:18 EDT 2017
